position,mlu,style,tempo,performer,division,division_follower,division_bigram,pattern,follower,bigram
1,lick,-,UP,David Liebman,4,4,[4|4],1011,1100,[1011|1100]
2,lick,-,UP,David Liebman,4,1,[4|1],1100,1,[1100|1]
3,lick,-,UP,David Liebman,1,2,[1|2],1,01,[1|01]
4,lick,-,UP,David Liebman,2,4,[2|4],01,1001,[01|1001]
5,lick,-,UP,David Liebman,4,4,[4|4],1001,1001,[1001|1001]
6,lick,-,UP,David Liebman,4,2,[4|2],1001,01,[1001|01]
7,lick,-,UP,David Liebman,2,2,[2|2],01,11,[01|11]
8,lick,-,UP,David Liebman,2,1,[2|1],11,1,[11|1]
9,lick,-,UP,David Liebman,1,3,[1|3],1,011,[1|011]
10,lick,-,UP,David Liebman,3,1,[3|1],011,1,[011|1]
11,lick,-,UP,David Liebman,1,1,[1|1],1,1,[1|1]
12,lick,-,UP,David Liebman,1,0,[1|0],1,0,[1|0]
1,line,-,MEDIUM,Bob Berg,7,8,[7|8],0101011,00101011,[0101011|00101011]
2,line,-,MEDIUM,Bob Berg,8,4,[8|4],00101011,1111,[00101011|1111]
3,line,-,MEDIUM,Bob Berg,4,1,[4|1],1111,1,[1111|1]
4,line,-,MEDIUM,Bob Berg,1,0,[1|0],1,0,[1|0]
1,line,-,MEDIUM,Dexter Gordon,5,4,[5|4],01111,0111,[01111|0111]
2,line,-,MEDIUM,Dexter Gordon,4,4,[4|4],0111,0111,[0111|0111]
3,line,-,MEDIUM,Dexter Gordon,4,3,[4|3],0111,111,[0111|111]
4,line,-,MEDIUM,Dexter Gordon,3,0,[3|0],111,0,[111|0]
1,lick,-,MEDIUM UP,John Coltrane,2,1,[2|1],01,1,[01|1]
2,lick,-,MEDIUM UP,John Coltrane,1,0,[1|0],1,0,[1|0]
1,lick,-,UP,Art Pepper,3,3,[3|3],011,011,[011|011]
2,lick,-,UP,Art Pepper,3,2,[3|2],011,01,[011|01]
3,lick,-,UP,Art Pepper,2,0,[2|0],01,0,[01|0]
1,lick,-,UP,Bob Berg,4,1,[4|1],1011,1,[1011|1]
2,lick,-,UP,Bob Berg,1,0,[1|0],1,0,[1|0]
1,lick,-,MEDIUM UP,Cannonball Adderley,4,4,[4|4],0001,1001,[0001|1001]
2,lick,-,MEDIUM UP,Cannonball Adderley,4,2,[4|2],1001,11,[1001|11]
3,lick,-,MEDIUM UP,Cannonball Adderley,2,0,[2|0],11,0,[11|0]
1,line,-,MEDIUM,Phil Woods,4,4,[4|4],0111,0111,[0111|0111]
2,line,-,MEDIUM,Phil Woods,4,4,[4|4],0111,1111,[0111|1111]
3,line,-,MEDIUM,Phil Woods,4,4,[4|4],1111,1111,[1111|1111]
4,line,-,MEDIUM,Phil Woods,4,6,[4|6],1111,011101,[1111|011101]
5,line,-,MEDIUM,Phil Woods,6,4,[6|4],011101,1111,[011101|1111]
6,line,-,MEDIUM,Phil Woods,4,0,[4|0],1111,0,[1111|0]
1,lick,-,UP,J.J. Johnson,2,2,[2|2],11,11,[11|11]
2,lick,-,UP,J.J. Johnson,2,1,[2|1],11,1,[11|1]
3,lick,-,UP,J.J. Johnson,1,3,[1|3],1,011,[1|011]
4,lick,-,UP,J.J. Johnson,3,0,[3|0],011,0,[011|0]
1,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
2,lick,-,UP,Gerry Mulligan,1,2,[1|2],1,01,[1|01]
3,lick,-,UP,Gerry Mulligan,2,2,[2|2],01,11,[01|11]
4,lick,-,UP,Gerry Mulligan,2,4,[2|4],11,1001,[11|1001]
5,lick,-,UP,Gerry Mulligan,4,1,[4|1],1001,1,[1001|1]
6,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
7,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
8,lick,-,UP,Gerry Mulligan,1,2,[1|2],1,11,[1|11]
9,lick,-,UP,Gerry Mulligan,2,2,[2|2],11,11,[11|11]
10,lick,-,UP,Gerry Mulligan,2,2,[2|2],11,11,[11|11]
11,lick,-,UP,Gerry Mulligan,2,1,[2|1],11,1,[11|1]
12,lick,-,UP,Gerry Mulligan,1,2,[1|2],1,01,[1|01]
13,lick,-,UP,Gerry Mulligan,2,2,[2|2],01,01,[01|01]
14,lick,-,UP,Gerry Mulligan,2,2,[2|2],01,01,[01|01]
15,lick,-,UP,Gerry Mulligan,2,2,[2|2],01,11,[01|11]
16,lick,-,UP,Gerry Mulligan,2,1,[2|1],11,1,[11|1]
17,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
18,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
19,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
20,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
21,lick,-,UP,Gerry Mulligan,1,4,[1|4],1,1001,[1|1001]
22,lick,-,UP,Gerry Mulligan,4,1,[4|1],1001,1,[1001|1]
23,lick,-,UP,Gerry Mulligan,1,1,[1|1],1,1,[1|1]
24,lick,-,UP,Gerry Mulligan,1,2,[1|2],1,11,[1|11]
25,lick,-,UP,Gerry Mulligan,2,2,[2|2],11,01,[11|01]
26,lick,-,UP,Gerry Mulligan,2,1,[2|1],01,1,[01|1]
27,lick,-,UP,Gerry Mulligan,1,2,[1|2],1,01,[1|01]
28,lick,-,UP,Gerry Mulligan,2,2,[2|2],01,11,[01|11]
29,lick,-,UP,Gerry Mulligan,2,1,[2|1],11,1,[11|1]
30,lick,-,UP,Gerry Mulligan,1,0,[1|0],1,0,[1|0]
1,lick,-,MEDIUM,Lee Morgan,2,3,[2|3],01,110,[01|110]
2,lick,-,MEDIUM,Lee Morgan,3,4,[3|4],110,1111,[110|1111]
3,lick,-,MEDIUM,Lee Morgan,4,6,[4|6],1111,011110,[1111|011110]
4,lick,-,MEDIUM,Lee Morgan,6,2,[6|2],011110,11,[011110|11]
5,lick,-,MEDIUM,Lee Morgan,2,1,[2|1],11,1,[11|1]
6,lick,-,MEDIUM,Lee Morgan,1,2,[1|2],1,11,[1|11]
7,lick,-,MEDIUM,Lee Morgan,2,1,[2|1],11,1,[11|1]
8,lick,-,MEDIUM,Lee Morgan,1,6,[1|6],1,110111,[1|110111]
9,lick,-,MEDIUM,Lee Morgan,6,2,[6|2],110111,11,[110111|11]
10,lick,-,MEDIUM,Lee Morgan,2,2,[2|2],11,11,[11|11]
11,lick,-,MEDIUM,Lee Morgan,2,2,[2|2],11,11,[11|11]
12,lick,-,MEDIUM,Lee Morgan,2,1,[2|1],11,1,[11|1]
13,lick,-,MEDIUM,Lee Morgan,1,2,[1|2],1,11,[1|11]
14,lick,-,MEDIUM,Lee Morgan,2,1,[2|1],11,1,[11|1]
15,lick,-,MEDIUM,Lee Morgan,1,2,[1|2],1,11,[1|11]
16,lick,-,MEDIUM,Lee Morgan,2,2,[2|2],11,11,[11|11]
17,lick,-,MEDIUM,Lee Morgan,2,3,[2|3],11,011,[11|011]
18,lick,-,MEDIUM,Lee Morgan,3,4,[3|4],011,1111,[011|1111]
19,lick,-,MEDIUM,Lee Morgan,4,2,[4|2],1111,11,[1111|11]
20,lick,-,MEDIUM,Lee Morgan,2,3,[2|3],11,011,[11|011]
21,lick,-,MEDIUM,Lee Morgan,3,3,[3|3],011,110,[011|110]
22,lick,-,MEDIUM,Lee Morgan,3,4,[3|4],110,1111,[110|1111]
23,lick,-,MEDIUM,Lee Morgan,4,4,[4|4],1111,1100,[1111|1100]
24,lick,-,MEDIUM,Lee Morgan,4,4,[4|4],1100,1111,[1100|1111]
25,lick,-,MEDIUM,Lee Morgan,4,3,[4|3],1111,110,[1111|110]
26,lick,-,MEDIUM,Lee Morgan,3,2,[3|2],110,11,[110|11]
27,lick,-,MEDIUM,Lee Morgan,2,2,[2|2],11,11,[11|11]
28,lick,-,MEDIUM,Lee Morgan,2,3,[2|3],11,111,[11|111]
29,lick,-,MEDIUM,Lee Morgan,3,4,[3|4],111,0111,[111|0111]
30,lick,-,MEDIUM,Lee Morgan,4,0,[4|0],0111,0,[0111|0]
1,line,-,UP,Miles Davis,1,2,[1|2],1,11,[1|11]
2,line,-,UP,Miles Davis,2,2,[2|2],11,01,[11|01]
3,line,-,UP,Miles Davis,2,2,[2|2],01,01,[01|01]
4,line,-,UP,Miles Davis,2,2,[2|2],01,11,[01|11]
5,line,-,UP,Miles Davis,2,2,[2|2],11,11,[11|11]
6,line,-,UP,Miles Davis,2,2,[2|2],11,11,[11|11]
7,line,-,UP,Miles Davis,2,0,[2|0],11,0,[11|0]
1,lick,-,UP,Branford Marsalis,6,6,[6|6],100011,100011,[100011|100011]
2,lick,-,UP,Branford Marsalis,6,3,[6|3],100011,011,[100011|011]
3,lick,-,UP,Branford Marsalis,3,2,[3|2],011,11,[011|11]
4,lick,-,UP,Branford Marsalis,2,2,[2|2],11,11,[11|11]
5,lick,-,UP,Branford Marsalis,2,2,[2|2],11,01,[11|01]
6,lick,-,UP,Branford Marsalis,2,2,[2|2],01,01,[01|01]
7,lick,-,UP,Branford Marsalis,2,2,[2|2],01,11,[01|11]
8,lick,-,UP,Branford Marsalis,2,2,[2|2],11,11,[11|11]
9,lick,-,UP,Branford Marsalis,2,1,[2|1],11,1,[11|1]
10,lick,-,UP,Branford Marsalis,1,2,[1|2],1,11,[1|11]
11,lick,-,UP,Branford Marsalis,2,4,[2|4],11,1001,[11|1001]
12,lick,-,UP,Branford Marsalis,4,2,[4|2],1001,01,[1001|01]
13,lick,-,UP,Branford Marsalis,2,2,[2|2],01,01,[01|01]
14,lick,-,UP,Branford Marsalis,2,2,[2|2],01,01,[01|01]
15,lick,-,UP,Branford Marsalis,2,2,[2|2],01,01,[01|01]
16,lick,-,UP,Branford Marsalis,2,2,[2|2],01,11,[01|11]
17,lick,-,UP,Branford Marsalis,2,2,[2|2],11,11,[11|11]
18,lick,-,UP,Branford Marsalis,2,2,[2|2],11,11,[11|11]
19,lick,-,UP,Branford Marsalis,2,1,[2|1],11,1,[11|1]
20,lick,-,UP,Branford Marsalis,1,1,[1|1],1,1,[1|1]
21,lick,-,UP,Branford Marsalis,1,4,[1|4],1,0001,[1|0001]
22,lick,-,UP,Branford Marsalis,4,1,[4|1],0001,1,[0001|1]
23,lick,-,UP,Branford Marsalis,1,0,[1|0],1,0,[1|0]
1,line,-,UP,Fats Navarro,2,2,[2|2],11,11,[11|11]
2,line,-,UP,Fats Navarro,2,2,[2|2],11,11,[11|11]
3,line,-,UP,Fats Navarro,2,1,[2|1],11,1,[11|1]
4,line,-,UP,Fats Navarro,1,2,[1|2],1,11,[1|11]
5,line,-,UP,Fats Navarro,2,2,[2|2],11,11,[11|11]
6,line,-,UP,Fats Navarro,2,3,[2|3],11,111,[11|111]
7,line,-,UP,Fats Navarro,3,2,[3|2],111,11,[111|11]
8,line,-,UP,Fats Navarro,2,3,[2|3],11,111,[11|111]
9,line,-,UP,Fats Navarro,3,0,[3|0],111,0,[111|0]
1,lick,-,UP,John Coltrane,1,2,[1|2],1,01,[1|01]
2,lick,-,UP,John Coltrane,2,3,[2|3],01,011,[01|011]
3,lick,-,UP,John Coltrane,3,2,[3|2],011,01,[011|01]
4,lick,-,UP,John Coltrane,2,0,[2|0],01,0,[01|0]
1,lick,-,UP,Nat Adderley,2,1,[2|1],11,1,[11|1]
2,lick,-,UP,Nat Adderley,1,2,[1|2],1,01,[1|01]
3,lick,-,UP,Nat Adderley,2,4,[2|4],01,0011,[01|0011]
4,lick,-,UP,Nat Adderley,4,1,[4|1],0011,1,[0011|1]
5,lick,-,UP,Nat Adderley,1,1,[1|1],1,1,[1|1]
6,lick,-,UP,Nat Adderley,1,1,[1|1],1,1,[1|1]
7,lick,-,UP,Nat Adderley,1,1,[1|1],1,1,[1|1]
8,lick,-,UP,Nat Adderley,1,0,[1|0],1,0,[1|0]
1,line,-,UP,Wayne Shorter,2,2,[2|2],11,01,[11|01]
2,line,-,UP,Wayne Shorter,2,2,[2|2],01,11,[01|11]
3,line,-,UP,Wayne Shorter,2,2,[2|2],11,11,[11|11]
4,line,-,UP,Wayne Shorter,2,1,[2|1],11,1,[11|1]
5,line,-,UP,Wayne Shorter,1,2,[1|2],1,11,[1|11]
6,line,-,UP,Wayne Shorter,2,2,[2|2],11,11,[11|11]
7,line,-,UP,Wayne Shorter,2,0,[2|0],11,0,[11|0]
1,line,-,MEDIUM,Cannonball Adderley,2,2,[2|2],11,11,[11|11]
2,line,-,MEDIUM,Cannonball Adderley,2,2,[2|2],11,11,[11|11]
3,line,-,MEDIUM,Cannonball Adderley,2,2,[2|2],11,11,[11|11]
4,line,-,MEDIUM,Cannonball Adderley,2,3,[2|3],11,111,[11|111]
5,line,-,MEDIUM,Cannonball Adderley,3,3,[3|3],111,111,[111|111]
6,line,-,MEDIUM,Cannonball Adderley,3,1,[3|1],111,1,[111|1]
7,line,-,MEDIUM,Cannonball Adderley,1,6,[1|6],1,011011,[1|011011]
8,line,-,MEDIUM,Cannonball Adderley,6,6,[6|6],011011,110111,[011011|110111]
9,line,-,MEDIUM,Cannonball Adderley,6,6,[6|6],110111,011011,[110111|011011]
10,line,-,MEDIUM,Cannonball Adderley,6,0,[6|0],011011,0,[011011|0]
1,lick,-,MEDIUM UP,Paul Desmond,1,1,[1|1],1,1,[1|1]
2,lick,-,MEDIUM UP,Paul Desmond,1,1,[1|1],1,1,[1|1]
3,lick,-,MEDIUM UP,Paul Desmond,1,2,[1|2],1,01,[1|01]
4,lick,-,MEDIUM UP,Paul Desmond,2,2,[2|2],01,01,[01|01]
5,lick,-,MEDIUM UP,Paul Desmond,2,2,[2|2],01,11,[01|11]
6,lick,-,MEDIUM UP,Paul Desmond,2,2,[2|2],11,11,[11|11]
7,lick,-,MEDIUM UP,Paul Desmond,2,2,[2|2],11,01,[11|01]
8,lick,-,MEDIUM UP,Paul Desmond,2,1,[2|1],01,1,[01|1]
9,lick,-,MEDIUM UP,Paul Desmond,1,0,[1|0],1,0,[1|0]
1,line,-,MEDIUM UP,David Liebman,1,2,[1|2],1,01,[1|01]
2,line,-,MEDIUM UP,David Liebman,2,6,[2|6],01,111110,[01|111110]
3,line,-,MEDIUM UP,David Liebman,6,3,[6|3],111110,111,[111110|111]
4,line,-,MEDIUM UP,David Liebman,3,3,[3|3],111,111,[111|111]
5,line,-,MEDIUM UP,David Liebman,3,4,[3|4],111,1110,[111|1110]
6,line,-,MEDIUM UP,David Liebman,4,6,[4|6],1110,111011,[1110|111011]
7,line,-,MEDIUM UP,David Liebman,6,1,[6|1],111011,1,[111011|1]
8,line,-,MEDIUM UP,David Liebman,1,1,[1|1],1,1,[1|1]
9,line,-,MEDIUM UP,David Liebman,1,2,[1|2],1,11,[1|11]
10,line,-,MEDIUM UP,David Liebman,2,1,[2|1],11,1,[11|1]
11,line,-,MEDIUM UP,David Liebman,1,1,[1|1],1,1,[1|1]
12,line,-,MEDIUM UP,David Liebman,1,1,[1|1],1,1,[1|1]
13,line,-,MEDIUM UP,David Liebman,1,1,[1|1],1,1,[1|1]
14,line,-,MEDIUM UP,David Liebman,1,0,[1|0],1,0,[1|0]
1,lick,-,UP,Charlie Parker,4,2,[4|2],1001,01,[1001|01]
2,lick,-,UP,Charlie Parker,2,2,[2|2],01,11,[01|11]
3,lick,-,UP,Charlie Parker,2,2,[2|2],11,11,[11|11]
4,lick,-,UP,Charlie Parker,2,2,[2|2],11,01,[11|01]
5,lick,-,UP,Charlie Parker,2,0,[2|0],01,0,[01|0]
1,lick,-,MEDIUM UP,Clifford Brown,2,2,[2|2],01,01,[01|01]
2,lick,-,MEDIUM UP,Clifford Brown,2,4,[2|4],01,0001,[01|0001]
3,lick,-,MEDIUM UP,Clifford Brown,4,3,[4|3],0001,111,[0001|111]
4,lick,-,MEDIUM UP,Clifford Brown,3,1,[3|1],111,1,[111|1]
5,lick,-,MEDIUM UP,Clifford Brown,1,4,[1|4],1,1101,[1|1101]
6,lick,-,MEDIUM UP,Clifford Brown,4,2,[4|2],1101,11,[1101|11]
7,lick,-,MEDIUM UP,Clifford Brown,2,1,[2|1],11,1,[11|1]
8,lick,-,MEDIUM UP,Clifford Brown,1,2,[1|2],1,11,[1|11]
9,lick,-,MEDIUM UP,Clifford Brown,2,3,[2|3],11,111,[11|111]
10,lick,-,MEDIUM UP,Clifford Brown,3,2,[3|2],111,11,[111|11]
11,lick,-,MEDIUM UP,Clifford Brown,2,2,[2|2],11,11,[11|11]
12,lick,-,MEDIUM UP,Clifford Brown,2,3,[2|3],11,111,[11|111]
13,lick,-,MEDIUM UP,Clifford Brown,3,0,[3|0],111,0,[111|0]
1,line,-,MEDIUM UP,Lee Konitz,5,4,[5|4],11111,1001,[11111|1001]
2,line,-,MEDIUM UP,Lee Konitz,4,1,[4|1],1001,1,[1001|1]
3,line,-,MEDIUM UP,Lee Konitz,1,1,[1|1],1,1,[1|1]
4,line,-,MEDIUM UP,Lee Konitz,1,2,[1|2],1,11,[1|11]
5,line,-,MEDIUM UP,Lee Konitz,2,2,[2|2],11,11,[11|11]
6,line,-,MEDIUM UP,Lee Konitz,2,4,[2|4],11,1111,[11|1111]
7,line,-,MEDIUM UP,Lee Konitz,4,0,[4|0],1111,0,[1111|0]
1,lick,-,UP,Joe Lovano,1,0,[1|0],1,0,[1|0]
1,line,-,MEDIUM,Cannonball Adderley,2,1,[2|1],11,1,[11|1]
2,line,-,MEDIUM,Cannonball Adderley,1,2,[1|2],1,01,[1|01]
3,line,-,MEDIUM,Cannonball Adderley,2,2,[2|2],01,01,[01|01]
4,line,-,MEDIUM,Cannonball Adderley,2,2,[2|2],01,11,[01|11]
