id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
44;line;-;UP;Joe Lovano;-;-;-;-;-;-;8;5;4,4,2,2,2;0001,1100,11,01,11
45;line;-;UP;Woody Shaw;-;-;-;-;-;-;30;16;2,2,2,2,4,1,2,2,2,4,2,2,2,2,2,2;11,11,11,11,0011,1,11,11,11,0001,11,11,11,11,11,11
46;line;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;17;9;3,3,1,2,4,4,1,2,2;111,111,1,01,1111,1001,1,01,01
47;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;65;38;2,2,2,2,2,2,1,4,2,2,2,2,1,2,2,4,2,2,2,2,2,2,4,4,2,2,2,2,4,2,4,1,1,4,2,2,2,1;01,01,11,11,01,11,1,1001,11,11,01,11,1,11,11,1001,11,11,01,11,11,11,1101,1001,11,01,01,11,1011,11,1100,1,1,1110,11,01,01,1
48;line;-;UP;Bob Berg;-;-;-;-;-;-;28;14;2,2,2,2,2,3,4,4,2,2,3,2,4,4;11,01,01,11,11,110,1001,1011,01,11,011,11,1011,1011
49;line;-;UP;Michael Brecker;-;-;-;-;-;-;20;9;2,2,2,3,4,2,2,2,2;11,11,11,111,1111,01,11,11,11
50;lick;-;MEDIUM UP;Chet Baker;-;-;-;-;-;-;13;9;2,2,2,1,2,1,2,2,2;11,11,01,1,11,1,11,01,01
51;lick;-;MEDIUM UP;Lee Morgan;-;-;-;-;-;-;21;12;2,1,2,2,2,6,2,4,2,4,1,4;11,1,01,11,01,111100,01,0011,11,0001,1,1110
52;lick;-;MEDIUM SLOW;Steve Lacy;-;-;-;-;-;-;9;6;2,1,3,6,3,1;01,1,011,000001,111,1
53;lick;-;MEDIUM UP;Hank Mobley;-;-;-;-;-;-;13;7;1,1,1,4,4,4,2;1,1,1,1101,1001,0111,11
54;line;-;UP;Charlie Parker;-;-;-;-;-;-;16;9;2,2,4,4,2,2,3,2,2;01,01,0001,0011,11,11,111,11,11
55;line;-;UP;Joe Henderson;-;-;-;-;-;-;10;6;4,2,2,2,2,2;1101,11,01,01,01,11
56;line;-;UP;Dexter Gordon;-;-;-;-;-;-;15;9;2,1,2,2,2,2,2,2,2;01,1,11,01,11,11,11,11,11
57;lick;-;MEDIUM;Bob Berg;-;-;-;-;-;-;2;1;3;011
58;line;-;UP;Charlie Parker;-;-;-;-;-;-;48;23;2,4,4,4,4,3,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,4;11,1011,1101,0111,1001,111,11,11,1001,11,1,11,11,11,11,11,11,11,11,11,01,11,1001
59;line;-;UP;Bob Berg;-;-;-;-;-;-;45;23;2,2,2,4,4,3,1,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2;11,11,11,1011,1001,111,1,11,11,11,11,11,01,1,1101,11,11,11,11,11,11,11,01
60;line;-;UP;John Coltrane;-;-;-;-;-;-;12;5;2,4,2,2,2;11,1111,11,11,11
61;lick;-;UP;John Coltrane;-;-;-;-;-;-;6;3;3,2,3;011,11,011
62;line;-;UP;Red Garland;-;-;-;-;-;-;45;23;2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2;11,11,11,11,11,11,11,11,11,11,11,11,1,11,11,11,11,11,111,1,11,11,11
63;lick;-;MEDIUM;Pat Metheny;-;-;-;-;-;-;10;4;2,4,4,2;11,0111,0111,11
64;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;3;2,2,2;11,01,11
65;lick;-;MEDIUM;John Coltrane;-;-;-;-;-;-;25;6;4,4,8,4,6,4;1110,1111,11111110,0111,101111,1011
66;line;-;UP;John Coltrane;-;-;-;-;-;-;6;4;4,2,2,2;0011,11,01,01
67;line;-;UP;Wynton Marsalis;-;-;-;-;-;-;45;26;2,2,1,1,4,4,2,4,2,2,4,2,1,2,3,4,2,1,1,2,2,2,2,2,2,4;01,11,1,1,1101,1101,11,1001,11,11,0001,11,1,11,011,0001,01,1,1,11,11,11,01,11,11,1101
68;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;12;10;1,2,1,1,2,1,6,1,4,2;1,01,1,1,01,1,000001,1,1001,11
69;lick;-;UP;Dizzy Gillespie;-;-;-;-;-;-;23;12;2,2,1,1,1,1,2,4,4,6,6,4;01,11,1,1,1,1,01,0001,1111,011110,111110,0001
70;line;-;UP;Joe Henderson;-;-;-;-;-;-;11;6;4,1,2,1,2,4;0001,1,11,1,11,1111
71;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;14;5;4,5,4,6,4;0111,10111,0001,010001,1111
72;lick;-;MEDIUM UP;Sonny Stitt;-;-;-;-;-;-;23;8;4,6,4,4,4,6,4,3;0111,011011,0111,0110,1111,000001,1111,110
73;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;49;17;4,4,4,4,1,4,4,4,4,4,2,4,6,2,4,4,4;1110,1011,0001,0111,1,0111,1111,1111,1011,0011,11,1011,100101,11,1111,1111,1111
74;lick;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;26;11;6,7,6,4,6,2,6,2,3,4,2;011111,0000111,000011,0001,000011,01,000111,01,110,1111,11
75;lick;-;UP;John Coltrane;-;-;-;-;-;-;10;6;2,4,2,2,2,2;11,0001,11,01,11,11
76;lick;-;UP;John Coltrane;-;-;-;-;-;-;2;1;2;11
77;lick;-;UP;Miles Davis;-;-;-;-;-;-;5;4;4,2,4,2;0001,01,1001,01
78;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;31;15;4,4,3,4,3,3,6,2,6,2,2,1,4,1,1;0001,1001,111,1111,111,110,100011,11,100001,01,01,1,1111,1,1
79;lick;-;UP;Michael Brecker;-;-;-;-;-;-;19;7;4,3,2,2,4,6,5;1011,011,11,11,0111,000111,11101
80;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;10;4;4,3,4,1;0111,110,1111,1
81;lick;-;MEDIUM SLOW;Michael Brecker;-;-;-;-;-;-;13;5;4,4,5,1,4;0111,1111,00111,1,0011
82;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;12;4;2,2,6,10;11,11,001001,0010011111
83;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;8;5;1,2,4,2,2;1,11,0011,11,01
84;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;15;9;2,3,2,1,2,2,2,2,2;11,111,11,1,01,11,01,01,11
85;line;-;UP;Sonny Rollins;-;-;-;-;-;-;28;14;2,2,2,3,2,2,4,2,3,2,3,2,2,2;11,11,01,111,11,01,0110,11,110,11,111,11,11,11
86;line;-;MEDIUM;Don Ellis;-;-;-;-;-;-;12;9;6,2,1,1,2,1,1,1,1;010001,11,1,1,11,1,1,1,1
87;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;29;11;5,6,2,6,4,4,2,2,4,3,2;00111,010111,11,111111,0011,1011,01,01,1011,111,01
88;line;-;UP;John Coltrane;-;-;-;-;-;-;14;8;2,4,2,2,1,2,2,2;11,0011,01,11,1,11,11,11
89;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;16;5;4,6,4,4,6;1111,110111,0001,0011,101011
90;lick;-;UP;Cannonball Adderley;-;-;-;-;-;-;5;4;1,2,2,2;1,01,01,11
91;line;-;MEDIUM;Michael Brecker;-;-;-;-;-;-;44;22;2,1,2,8,2,1,2,2,1,4,4,1,4,5,4,4,2,2,2,2,1,6;11,1,11,00100001,11,1,11,11,1,1111,1100,1,0011,00111,0111,0111,11,11,11,11,1,001001
92;lick;-;MEDIUM UP;Dizzy Gillespie;-;-;-;-;-;-;6;3;4,2,4;1101,11,0001
93;lick;-;UP;Kenny Dorham;-;-;-;-;-;-;5;5;1,1,4,2,2;1,1,0001,01,01
94;line;-;UP;Joe Lovano;-;-;-;-;-;-;15;6;6,3,3,1,2,2;111110,111,111,1,01,11
95;line;-;UP;Steve Coleman;-;-;-;-;-;-;5;3;2,2,2;11,11,01
96;line;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;26;11;4,3,2,2,2,2,2,3,1,4,3;1111,111,11,11,11,01,11,111,1,0111,111
97;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;10;8;2,1,2,1,2,1,4,1;01,1,11,1,11,1,0001,1
98;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;7;5;1,1,2,2,2;1,1,01,11,11
99;lick;-;UP;John Coltrane;-;-;-;-;-;-;19;10;2,4,2,2,2,3,4,4,2,1;01,1011,01,11,11,111,0110,0011,11,1
100;line;-;UP;Kenny Dorham;-;-;-;-;-;-;18;8;3,2,2,4,2,2,2,4;111,11,01,1101,11,11,11,1011
101;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;12;4;2,4,4,4;01,1111,0111,1111
102;line;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;31;12;1,4,3,2,4,2,2,4,5,2,6,6;1,1001,111,01,1111,11,11,1001,01111,01,101011,111110
103;lick;-;MEDIUM;Gerry Mulligan;-;-;-;-;-;-;8;6;1,1,1,1,2,2;1,1,1,1,11,11
104;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;33;12;7,4,2,2,6,4,4,2,2,2,6,4;0001011,1111,11,01,011101,1111,1111,11,11,11,101011,0001
105;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;8;5;3,2,4,6,1;011,11,0001,000011,1
106;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;22;17;2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,4,2;11,11,01,11,01,1,01,01,01,01,1,1,01,1,01,0011,11
107;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;15;11;2,1,1,4,2,1,2,4,1,1,2;01,1,1,1011,01,1,01,1011,1,1,01
108;line;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;25;7;4,3,3,4,5,3,6;1111,111,011,1111,01111,111,101111
109;lick;-;UP;Miles Davis;-;-;-;-;-;-;22;14;2,2,2,3,2,2,2,1,1,1,3,2,4,1;01,01,11,111,01,11,11,1,1,1,011,11,0011,1
110;lick;-;UP;Chet Baker;-;-;-;-;-;-;2;2;1,1;1,1
111;lick;-;UP;John Coltrane;-;-;-;-;-;-;15;10;1,4,2,1,1,4,2,1,4,4;1,0001,01,1,1,1001,11,1,1101,1001
112;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;5;2;4,2;0111,11
113;lick;-;MEDIUM;Gerry Mulligan;-;-;-;-;-;-;10;7;1,1,1,2,2,2,6;1,1,1,11,11,01,010001
114;line;-;UP;Michael Brecker;-;-;-;-;-;-;80;39;3,2,2,2,2,1,2,1,2,2,2,2,2,3,2,2,2,4,2,2,3,2,2,4,3,3,3,3,3,2,2,2,2,2,1,4,3,3,1;111,11,11,11,11,1,11,1,11,11,11,11,11,011,01,11,11,0001,11,11,111,11,11,0001,011,111,111,111,111,11,11,11,01,11,1,1111,111,111,1
115;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;42;27;1,1,2,2,2,4,2,2,2,4,2,2,2,4,1,2,2,2,2,2,2,2,1,4,2,2,2;1,1,11,11,01,1001,01,11,11,0001,11,11,01,1001,1,11,01,11,11,01,11,01,1,0111,01,01,11
116;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;3;1,2,3;1,01,011
117;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;2;6,2;011110,01
118;lick;-;UP;David Liebman;-;-;-;-;-;-;9;7;2,2,2,1,1,2,1;11,11,01,1,1,01,1
119;line;-;UP;Michael Brecker;-;-;-;-;-;-;33;17;2,2,2,1,4,4,2,2,2,2,2,2,4,4,2,4,1;11,11,01,1,1111,1101,11,11,11,11,11,01,0011,1011,11,0001,1
120;lick;-;UP;David Liebman;-;-;-;-;-;-;9;5;2,2,2,2,2;01,11,11,11,11
121;line;-;UP;Phil Woods;-;-;-;-;-;-;20;9;3,3,1,5,2,4,2,4,2;011,111,1,01011,11,0011,11,1011,11
122;lick;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;8;5;2,6,8,1,1;11,000101,01000011,0,1
123;lick;-;MEDIUM;Clifford Brown;-;-;-;-;-;-;12;5;4,2,2,2,2;1111,11,11,11,11
124;line;-;MEDIUM UP;Milt Jackson;-;-;-;-;-;-;10;5;4,2,2,2,2;1001,11,11,11,11
125;lick;-;UP;Paul Desmond;-;-;-;-;-;-;28;19;2,2,2,2,4,4,2,2,6,2,2,4,1,2,1,2,1,1,2;11,11,01,11,1101,1001,01,11,001001,01,11,0001,1,01,1,01,1,1,01
126;line;-;UP;Phil Woods;-;-;-;-;-;-;62;37;4,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,1,2,1,1,4,2,2,1,2,2,2,2,2,2;0001,11,11,1,1,01,111,11,11,11,11,11,11,11,11,11,11,11,1,01,1,011,11,1,11,1,1,0001,11,11,1,01,11,11,11,11,11
127;lick;-;UP;Miles Davis;-;-;-;-;-;-;15;13;2,1,1,1,1,1,1,2,2,4,2,2,2;11,1,1,1,1,1,1,11,01,0001,01,01,01
128;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;23;9;4,4,2,6,2,4,6,4,3;0001,0111,11,011011,01,0111,011011,0011,111
129;lick;-;UP;Clifford Brown;-;-;-;-;-;-;6;5;1,2,2,4,2;1,01,01,0001,11
130;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;11;5;4,4,2,4,2;1001,1111,11,0001,11
131;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;4;2;2,2;11,11
132;line;-;MEDIUM;Lee Morgan;-;-;-;-;-;-;65;22;4,6,6,4,4,4,4,4,4,2,2,2,4,4,2,5,4,2,3,2,3,6;1101,010111,101111,1111,0011,0110,1110,1001,1111,01,11,11,1111,0111,11,11111,0111,11,011,11,111,101111
133;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;24;18;2,2,2,1,2,3,2,1,2,1,1,3,2,1,2,1,2,1;01,11,11,1,01,011,01,1,11,1,1,011,11,1,01,1,01,1
134;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;2,3;11,011
135;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;119;44;1,1,4,2,1,4,4,2,6,6,1,1,4,8,1,4,2,4,5,4,7,4,5,3,4,6,6,1,4,2,2,6,6,6,6,1,1,4,6,4,2,1,4,2;1,1,0011,01,1,1111,1111,11,101011,111011,1,1,1110,11010001,1,1111,11,1011,11111,1111,0001111,1111,01111,011,1111,101011,111101,1,1111,11,11,000101,010011,011111,011111,1,1,1111,000101,0011,01,1,0011,01
136;lick;-;MEDIUM;Stan Getz;-;-;-;-;-;-;12;9;1,1,1,1,2,2,1,4,4;1,1,1,1,11,11,1,0001,1001
137;lick;-;UP;Lee Konitz;-;-;-;-;-;-;35;22;2,2,2,1,2,4,2,2,1,1,4,2,2,2,2,4,1,2,4,4,2,2;11,11,01,1,11,0001,01,01,1,1,0001,11,01,11,11,1001,1,11,1001,1101,11,11
138;line;-;MEDIUM UP;Dizzy Gillespie;-;-;-;-;-;-;95;29;2,2,6,4,4,6,5,4,6,6,1,2,4,2,2,6,5,4,4,4,6,5,4,2,2,1,2,2,6;11,11,101111,1111,1111,011001,01111,1111,011111,101111,1,11,1111,11,01,010111,01111,1111,0111,1101,111111,01111,1111,11,11,1,11,11,111111
139;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;18;9;2,4,2,2,2,2,1,4,1;11,1011,11,11,11,01,1,1111,1
140;lick;-;MEDIUM SLOW;Hank Mobley;-;-;-;-;-;-;16;6;4,7,4,2,6,3;1111,1010011,1101,11,000001,110
141;line;-;UP;John Coltrane;-;-;-;-;-;-;41;22;4,4,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,4,6;0011,1101,11,11,01,11,1,11,11,11,11,1,11,11,01,11,11,11,01,11,0001,010111
142;line;-;UP;Chris Potter;-;-;-;-;-;-;38;20;2,4,1,1,2,2,2,2,4,2,3,4,2,2,2,2,2,2,2,2;11,1101,1,1,11,01,11,11,1011,11,011,1101,01,11,01,11,11,11,11,11
143;line;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;11;2;6,6;111110,111111
144;line;-;UP;Michael Brecker;-;-;-;-;-;-;55;24;4,1,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2;1101,1,1111,11,11,1111,1111,1101,01,11,11,11,11,11,11,11,01,11,11,11,11,1111,011,11
145;lick;-;UP;Cannonball Adderley;-;-;-;-;-;-;10;7;1,1,1,4,2,2,2;1,1,1,1001,11,11,01
146;lick;-;UP;Michael Brecker;-;-;-;-;-;-;20;13;2,3,3,2,2,2,2,2,2,4,1,1,1;01,111,111,11,11,11,01,01,01,0001,1,1,1
147;line;-;MEDIUM SLOW;Steve Lacy;-;-;-;-;-;-;13;6;4,4,4,2,3,1;0111,1100,0111,11,011,1
148;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;23;13;1,1,1,2,4,2,2,3,1,6,1,2,2;1,1,1,01,1011,11,11,111,1,010111,1,11,01
149;lick;-;MEDIUM UP;Bob Berg;-;-;-;-;-;-;21;7;2,4,3,3,4,4,5;11,1100,111,110,1110,1111,11111
150;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;15;6;2,2,2,4,4,2;11,11,11,1111,1101,11
151;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;16;9;1,6,4,4,6,4,2,2,2;1,000001,0001,1001,100101,1101,11,01,11
152;line;-;UP;Joe Lovano;-;-;-;-;-;-;22;15;2,1,1,2,2,1,4,2,3,2,2,2,1,1,4;01,1,1,01,01,1,1101,11,111,11,11,01,1,1,0001
153;lick;-;UP;Joe Lovano;-;-;-;-;-;-;10;7;2,2,2,1,1,3,1;11,11,01,1,1,011,1
154;lick;-;UP;Steve Lacy;-;-;-;-;-;-;6;6;1,1,1,1,2,1;1,1,1,1,01,1
155;line;-;UP;Herbie Hancock;-;-;-;-;-;-;33;18;2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2;11,11,11,11,11,11,01,11,11,11,01,1,11,11,11,11,11,11
156;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;25;10;4,8,3,3,2,2,2,2,2,2;1111,01000011,111,111,11,11,11,11,11,11
157;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;2;2;2,2;01,01
158;lick;-;UP;Miles Davis;-;-;-;-;-;-;4;3;2,4,2;11,0001,01
159;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;56;16;4,4,4,4,4,4,4,4,4,4,4,4,6,2,6,4;1111,0111,1111,1111,1011,1111,0001,0111,1110,1111,1111,0111,101111,11,111111,1101
160;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;15;13;2,2,1,2,1,2,1,1,1,1,2,1,1;01,01,1,11,1,01,1,1,1,1,11,1,1
161;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;19;6;3,3,5,8,4,2;011,110,01111,10101111,1111,01
162;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;11;6;2,2,2,1,2,2;11,11,11,1,11,11
163;lick;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;14;8;2,1,4,4,2,2,6,2;11,1,0011,0110,11,11,010001,01
164;line;-;UP;John Coltrane;-;-;-;-;-;-;10;6;2,2,2,2,2,2;11,11,11,01,01,11
165;line;-;UP;Pepper Adams;-;-;-;-;-;-;18;12;2,2,2,1,1,1,2,2,2,4,1,1;11,01,11,1,1,1,11,11,01,1101,1,1
166;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;10;3;2,6,4;11,101101,1111
167;lick;-;UP;Michael Brecker;-;-;-;-;-;-;13;8;3,4,2,1,4,1,4,6;011,1001,11,1,1001,1,0011,000001
168;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;10;5;6,6,4,2,2;001001,000101,0111,01,11
169;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;9;6;6,3,4,1,1,1;000011,011,1001,1,1,1
170;lick;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;13;7;4,2,4,4,2,1,1;0110,11,1111,0001,11,1,1
171;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;17;8;3,3,3,2,1,1,2,3;111,111,110,11,1,1,11,111
172;line;-;UP;Miles Davis;-;-;-;-;-;-;24;13;2,2,2,2,2,2,3,2,1,2,2,3,3;11,11,01,11,11,11,011,11,1,11,11,011,011
173;lick;-;UP;Cannonball Adderley;-;-;-;-;-;-;5;3;3,2,2;111,01,01
174;line;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;19;11;1,3,4,2,2,2,1,2,1,4,4;1,111,1101,11,11,11,1,01,1,0001,1100
175;line;-;UP;Herbie Hancock;-;-;-;-;-;-;17;10;2,2,2,2,1,2,4,2,2,4;11,11,01,01,1,11,0001,11,11,1011
176;lick;-;UP;Hank Mobley;-;-;-;-;-;-;21;14;2,4,6,2,4,1,2,4,2,4,1,2,1,4;01,1101,000001,11,0001,1,01,0001,11,0001,1,11,1,1011
177;lick;-;MEDIUM UP;Chet Baker;-;-;-;-;-;-;26;13;1,1,2,2,6,2,6,6,6,2,2,6,2;1,1,11,11,100101,11,100001,101001,010001,11,11,010001,11
